Libellé;Indice CVS-CJO de la production industrielle (base 100 en 2015) - Fabrication de machines agricoles et forestières (NAF rév. 2, niveau groupe, poste 28.3);Codes
idBank;10537749;
Dernière mise à jour;05/04/2022 08:45;
Période;;
1990-01;138.45;A
1990-02;159.17;A
1990-03;147.3;A
1990-04;137.3;A
1990-05;126.88;A
1990-06;127.8;A
1990-07;121.2;A
1990-08;119.3;A
1990-09;130.84;A
1990-10;139.48;A
1990-11;124.9;A
1990-12;116.16;A
1991-01;123.17;A
1991-02;116.66;A
1991-03;112.2;A
1991-04;104.39;A
1991-05;98.26;A
1991-06;96.59;A
1991-07;93.15;A
1991-08;100.25;A
1991-09;90.52;A
1991-10;85.77;A
1991-11;107.87;A
1991-12;93.02;A
1992-01;86.93;A
1992-02;90.44;A
1992-03;88.97;A
1992-04;94.69;A
1992-05;94.91;A
1992-06;90.5;A
1992-07;91.17;A
1992-08;96.26;A
1992-09;87.65;A
1992-10;90.51;A
1992-11;81.59;A
1992-12;81.78;A
1993-01;79.84;A
1993-02;72.76;A
1993-03;73.03;A
1993-04;76.1;A
1993-05;79.02;A
1993-06;83.84;A
1993-07;91.19;A
1993-08;81.53;A
1993-09;83.67;A
1993-10;82.48;A
1993-11;74.24;A
1993-12;79.38;A
1994-01;83.25;A
1994-02;87.7;A
1994-03;75.91;A
1994-04;92.83;A
1994-05;91.51;A
1994-06;84.7;A
1994-07;92.31;A
1994-08;97.71;A
1994-09;90.45;A
1994-10;95.04;A
1994-11;102.54;A
1994-12;99.19;A
1995-01;105.38;A
1995-02;98.95;A
1995-03;107.26;A
1995-04;104.16;A
1995-05;119.3;A
1995-06;117.92;A
1995-07;109.02;A
1995-08;104.86;A
1995-09;111.98;A
1995-10;106.08;A
1995-11;117.31;A
1995-12;117.37;A
1996-01;123.22;A
1996-02;124.23;A
1996-03;122.64;A
1996-04;117.1;A
1996-05;111.32;A
1996-06;116.14;A
1996-07;118.62;A
1996-08;103.99;A
1996-09;107.28;A
1996-10;109.35;A
1996-11;109.01;A
1996-12;113.81;A
1997-01;103.65;A
1997-02;105.99;A
1997-03;118.68;A
1997-04;106.69;A
1997-05;97.06;A
1997-06;103.78;A
1997-07;107.55;A
1997-08;117.53;A
1997-09;113.66;A
1997-10;126.02;A
1997-11;116.62;A
1997-12;118.92;A
1998-01;111.67;A
1998-02;124.91;A
1998-03;94.86;A
1998-04;100.81;A
1998-05;102.06;A
1998-06;96.14;A
1998-07;97.76;A
1998-08;103.54;A
1998-09;111.94;A
1998-10;106.18;A
1998-11;113.36;A
1998-12;112.4;A
1999-01;117.64;A
1999-02;125.22;A
1999-03;117.6;A
1999-04;122.13;A
1999-05;124.77;A
1999-06;122.69;A
1999-07;132.16;A
1999-08;118.36;A
1999-09;124.05;A
1999-10;127.5;A
1999-11;118.05;A
1999-12;110.66;A
2000-01;110.49;A
2000-02;106.43;A
2000-03;112.53;A
2000-04;114.19;A
2000-05;129.02;A
2000-06;120.02;A
2000-07;101.03;A
2000-08;127.64;A
2000-09;116.37;A
2000-10;114.15;A
2000-11;113.95;A
2000-12;116.02;A
2001-01;105.28;A
2001-02;113.17;A
2001-03;117.76;A
2001-04;114.81;A
2001-05;118.31;A
2001-06;118.14;A
2001-07;115.16;A
2001-08;121.44;A
2001-09;113.25;A
2001-10;115.98;A
2001-11;116.96;A
2001-12;120.7;A
2002-01;123.54;A
2002-02;118.17;A
2002-03;124.31;A
2002-04;120.52;A
2002-05;125.63;A
2002-06;127.43;A
2002-07;131.16;A
2002-08;117.11;A
2002-09;121.62;A
2002-10;118.01;A
2002-11;113.69;A
2002-12;130.51;A
2003-01;138.88;A
2003-02;146.05;A
2003-03;156.04;A
2003-04;154.54;A
2003-05;128.9;A
2003-06;127.18;A
2003-07;127.01;A
2003-08;137.8;A
2003-09;121.64;A
2003-10;141.17;A
2003-11;141.5;A
2003-12;136.75;A
2004-01;133.95;A
2004-02;139.9;A
2004-03;132.14;A
2004-04;133.02;A
2004-05;137.0;A
2004-06;147.46;A
2004-07;140.48;A
2004-08;123.3;A
2004-09;151.48;A
2004-10;146.78;A
2004-11;142.95;A
2004-12;149.03;A
2005-01;156.25;A
2005-02;138.54;A
2005-03;142.24;A
2005-04;146.39;A
2005-05;142.9;A
2005-06;134.28;A
2005-07;133.87;A
2005-08;134.24;A
2005-09;130.83;A
2005-10;128.4;A
2005-11;123.96;A
2005-12;126.63;A
2006-01;118.28;A
2006-02;129.07;A
2006-03;122.67;A
2006-04;130.32;A
2006-05;118.94;A
2006-06;130.01;A
2006-07;137.39;A
2006-08;130.88;A
2006-09;142.69;A
2006-10;140.89;A
2006-11;143.06;A
2006-12;132.16;A
2007-01;134.1;A
2007-02;134.15;A
2007-03;139.53;A
2007-04;141.65;A
2007-05;148.38;A
2007-06;148.99;A
2007-07;147.55;A
2007-08;128.26;A
2007-09;145.28;A
2007-10;149.32;A
2007-11;161.41;A
2007-12;147.41;A
2008-01;119.03;A
2008-02;158.01;A
2008-03;169.84;A
2008-04;194.71;A
2008-05;162.38;A
2008-06;153.13;A
2008-07;145.87;A
2008-08;136.3;A
2008-09;151.79;A
2008-10;177.06;A
2008-11;199.64;A
2008-12;165.84;A
2009-01;161.1;A
2009-02;156.22;A
2009-03;122.41;A
2009-04;95.26;A
2009-05;85.69;A
2009-06;88.46;A
2009-07;87.19;A
2009-08;120.88;A
2009-09;69.93;A
2009-10;75.88;A
2009-11;76.78;A
2009-12;81.4;A
2010-01;85.19;A
2010-02;81.9;A
2010-03;71.79;A
2010-04;71.8;A
2010-05;92.95;A
2010-06;98.41;A
2010-07;102.34;A
2010-08;124.82;A
2010-09;113.74;A
2010-10;101.3;A
2010-11;100.93;A
2010-12;112.47;A
2011-01;107.32;A
2011-02;95.37;A
2011-03;114.64;A
2011-04;121.91;A
2011-05;129.8;A
2011-06;122.65;A
2011-07;131.78;A
2011-08;135.19;A
2011-09;140.56;A
2011-10;133.79;A
2011-11;136.35;A
2011-12;125.69;A
2012-01;134.0;A
2012-02;133.72;A
2012-03;138.95;A
2012-04;131.59;A
2012-05;122.9;A
2012-06;125.3;A
2012-07;119.08;A
2012-08;115.7;A
2012-09;119.0;A
2012-10;139.04;A
2012-11;121.85;A
2012-12;117.25;A
2013-01;120.92;A
2013-02;124.74;A
2013-03;127.48;A
2013-04;149.85;A
2013-05;133.26;A
2013-06;133.92;A
2013-07;132.92;A
2013-08;104.81;A
2013-09;114.12;A
2013-10;132.29;A
2013-11;125.34;A
2013-12;137.41;A
2014-01;124.79;A
2014-02;120.51;A
2014-03;117.98;A
2014-04;110.77;A
2014-05;96.27;A
2014-06;110.29;A
2014-07;108.42;A
2014-08;109.05;A
2014-09;108.55;A
2014-10;102.76;A
2014-11;104.08;A
2014-12;100.91;A
2015-01;107.36;A
2015-02;105.73;A
2015-03;101.79;A
2015-04;95.2;A
2015-05;98.23;A
2015-06;92.82;A
2015-07;88.74;A
2015-08;107.97;A
2015-09;102.44;A
2015-10;101.34;A
2015-11;100.02;A
2015-12;98.37;A
2016-01;110.52;A
2016-02;102.24;A
2016-03;97.49;A
2016-04;103.36;A
2016-05;94.87;A
2016-06;93.13;A
2016-07;90.88;A
2016-08;89.46;A
2016-09;86.85;A
2016-10;83.25;A
2016-11;90.3;A
2016-12;91.99;A
2017-01;80.11;A
2017-02;87.79;A
2017-03;92.11;A
2017-04;98.15;A
2017-05;109.91;A
2017-06;109.63;A
2017-07;109.15;A
2017-08;111.14;A
2017-09;107.41;A
2017-10;110.29;A
2017-11;104.14;A
2017-12;110.98;A
2018-01;97.43;A
2018-02;101.34;A
2018-03;104.27;A
2018-04;99.41;A
2018-05;93.13;A
2018-06;110.46;A
2018-07;130.09;A
2018-08;105.76;A
2018-09;121.53;A
2018-10;108.8;A
2018-11;107.63;A
2018-12;104.27;A
2019-01;109.95;A
2019-02;116.66;A
2019-03;108.23;A
2019-04;114.45;A
2019-05;110.29;A
2019-06;104.91;A
2019-07;105.75;A
2019-08;100.8;A
2019-09;101.45;A
2019-10;89.28;A
2019-11;114.77;A
2019-12;107.82;A
2020-01;96.68;A
2020-02;102.16;A
2020-03;50.02;A
2020-04;31.53;A
2020-05;85.57;A
2020-06;107.38;A
2020-07;109.72;A
2020-08;112.13;A
2020-09;102.95;A
2020-10;107.5;A
2020-11;109.64;A
2020-12;101.96;A
2021-01;111.61;A
2021-02;101.37;A
2021-03;106.92;A
2021-04;101.16;A
2021-05;103.33;A
2021-06;100.66;A
2021-07;106.93;A
2021-08;100.12;A
2021-09;118.47;A
2021-10;101.32;A
2021-11;85.28;A
2021-12;149.34;A
2022-01;99.23;A
2022-02;98.65;A
